id;kanji;jlpt;joyo_reading;reading;on;kun;on_trans;kun_trans
1;亜;1;ア;;a;"rank next, come after, Asia, sub-, -ous (in acids)";-;-
2;哀;1;アイ、あわ-れ、あわ-れむ;かな;ai;"pity, have mercy on, sympathize with";"awa(re), awa(remu)";"pity, have mercy on, sympathize with, grief, sorrow, misery; compassion, pathos"
3;挨;0;アイ;;ai;"push open";-;-
4;愛;3;アイ;オ、いと、め;ai;"love, affection, favorite";-;-
5;曖;0;アイ;;ai;"dark; not clear";-;-
6;悪;4;アク、オ、わる-い;;"aku, 	o";"evil, wrong, vice, wickedness, lawlessness";waru(i);"bad, evil, wrong; immoral; malicious; blamable; injurious; detrimental, malignant; be indisposed; inferior; homely; poor (memory); inclement; unlucy; out of order; unsavory"
7;握;1;アク、にぎ-る;;aku;"grasp, hold; make (sushi balls); assume (power); make (money); get (proof)";nigi(ru);"grasp, hold; make (sushi balls); assume (power); make (money); get (proof)"
8;圧;2;アツ;おさ;atsu;"press, oppress, dominate, overwhelm";-;-
9;扱;1;あつか-う;;-;-;atsuka(u);"treat; entertain; manage, deal with, conduct, work on; handle; manipulate"
10;宛;0;あ-てる;エン;-;-;a(teru);"address (a letter)"
11;嵐;1;あらし;ラン;-;-;arashi;"storm, tempest"
12;安;4;アン、やす-い;;an;"be rested, feel at ease, be relieved, repose";yasu(i);"cheap, inexpensive; peaceful, quiet; gossipy, thoughtless"
13;案;2;アン;;an;"proposition, suggestion, plan, idea; opinion; expectation; bill, draft, measure; table";-;-
14;暗;3;アン、くら-い;;an;dark;kura(i);"dark, gloomy, somber; dim, faint; ignorant "
15;以;4;イ;もち、ゆえ、も;i;"with, by, by means of; because; in view of";-;-
16;衣;2;イ、ころも;エ、きぬ、き、ぎぬ、ぎ;i;garment;koromo;"clothes, robe; dressing; frosting; coating"
17;位;3;イ、くらい;;i;"rank, place, grade";kurai;"grade, rank; court order, dignity, nobility; situation; throne, crown"
18;囲;2;イ、かこ-む、かこ-う;;i;enclosure;"kako(mu), kako(u)";"enclose, surround, encircle; besiege; preserve, store; keep"
19;医;4;イ;;i;"medicine, the healing art; doctor";-;-
20;依;2;イ、[エ];よ;"i, [e	]";"depend on";-;-
21;委;2;イ、ゆだ-ねる;まか;i;"entrust to, discard";yuda(neru);"entrust to, devote (oneself) to"
22;威;1;イ;おど、たけ;i;"dignity, majesty, authority";-;-
23;為;1;イ;ため、な;i;"change; be of use; reach to";-;-
24;畏;0;イ、おそ-れる;かしこ;i;"fear, be overawed, be apprehensive";oso(reru);"fear, be overawed, be apprehensive"
25;胃;2;イ;;i;"stomach; paunch, crop, craw";-;-
26;尉;1;イ;じょう;i;"jailer; old man; rank; company officer";-;-
27;異;2;イ、こと;あや;i;"uncommonness, strangeness, queerness; difference";koto(naru);"differ, vary; be unusual"
28;移;2;イ、うつ-る、うつ-す;;i;"move, change, shift, pass into, drift; soak in; be infected, catch (a cold); catch fire, spread";"utsu(ru), utsu(su)";"move, change, shift, pass into, drift; soak in; be infected, catch (a cold); catch fire, spread; transfer; pour into, divert(attention), give (a disease to someone)"
29;萎;0;イ、な-える;しぼ、しお;i;"wither, droop, weaken; be paralyzed, be lame";na(eru);"wither, droop, weaken; be paralyzed, be lame"
